cliente_id,cliente,email,telefono,metodo_pago,numero_tarjeta,codigo_postal,estado,direccion
C-31ij,Ilse Carolina Arguello Vargas,rolvera@yahoo.com,592.549.7283x41724,tarjeta,3516303758383771,06497,OAX,Pasaje Sur Hinojosa 546 Interior 968Vieja Myanmar
C-95aQ,Isaac Berta Espinosa Bustamante,geronimo50@yahoo.com,+90(3)9021386651,tarjeta,2226879089263405,44107,TAMPS,Prolongacion Norte Guillen 815 833San Vicente de la Montaña
C-98oG,Genaro Noelia Olivas Quiroz,jorge02@yahoo.com,08526507692,tarjeta,2245122837899163,11015-7667,MEX,Avenida Norte Lozano 005 Edif. 213   Depto. 580San Pascual de la Montaña
C-92AC,Zeferino Hermelinda Cardenas,riojasoctavio@yahoo.com,072-731-3705,tarjeta,377359909381316,36879,DGO,Ampliacion Cortes 072 Edif. 362   Depto. 032Nueva Belarus
C-61Rz,Judith Santiago Trejo,homerohernandes@yahoo.com,(442)032-9738x877,efectivo,,75788-3053,SIN,Eje vial Republica Centroafricana 816 Interior 150San Gustavo los altos
C-91Ip,Luz Rebeca Maestas,aidasoria@hotmail.com,1-174-830-5667x85644,tarjeta,676287009135,49534,BCS,Retorno Veracruz de Ignacio de la Llave 424 Interior 386Nueva Tailandia
C-77Tx,Dr. Cristina Almanza,puenteanel@yahoo.com,07350278768,tarjeta,180059400516595,93717-4366,Q. ROO,Calle Fernandez 479 Interior 434Nueva Etiopia
C-00Iu,Jos Armenta Galvez,guardadomicaela@hotmail.com,(883)037-0202x7371,tarjeta,503823710184,08028,SIN,Circunvalacion Hungria 372 350Vieja Iran
C-58BP,Lic. Rebeca Grijalva,navarretemaria-del-carmen@hotmail.com,049.432.9844x811,efectivo,,16517,VER,Diagonal Yucatan 244 Interior 940Nueva ex Republica Yugoslava de Macedonia
C-12WI,Ing. Sara Vera,lourdes17@hotmail.com,690-529-7500,tarjeta,6581594467766644,99258,BCS,Callejon Sonora 840 Edif. 500   Depto. 035Nueva Eritrea
